"","X","Site","Station","mesoPres","elapsed.capped","T2F.capped"
"1",1,5,"05CG","Not Detected",168,17.98611111
"2",2,5,"05CH","Not Detected",168,78.31416667
"3",3,5,"05CI","Not Detected",168,102.6908333
"4",4,106,"106CG","Detected",115.7166667,168
"5",5,106,"106CH","Detected",168,168
"6",6,106,"106CI","Detected",158.95,132.1897222
"7",7,112,"112CA","Not Detected",117.1833333,168
"8",8,112,"112CD","Not Detected",167.5833333,168
"9",9,112,"112CE","Not Detected",118.3,69.78722222
"10",10,113,"113CA","Not Detected",27.18333333,25.64861111
"11",11,113,"113CB","Not Detected",21,20.99972222
"12",12,113,"113CC","Not Detected",53.8,53.79055556
"13",13,114,"114CF","Detected",81.93333333,81.85333333
"14",14,114,"114CG","Detected",37.2,34.74444444
"15",15,114,"114CH","Detected",167.0666667,167.0666667
"16",16,116,"116CD","Detected",30.75,30.03055556
"17",17,116,"116CE","Detected",32,31.80916667
"18",18,116,"116CF","Detected",32,31.16138889
"19",19,117,"117CA","Detected",35.73333333,35.62972222
"20",20,117,"117CF","Detected",31.63333333,31.42472222
"21",21,117,"117CH","Detected",49.06666667,48.97083333
"22",22,23,"23CA","Detected",5.2,2.041111111
"23",23,23,"23CB","Detected",77.56666667,77.05472222
"24",24,23,"23CC","Detected",8.75,8.300555556
"25",25,42,"42CA","Not Detected",165.4666667,165.4666667
"26",26,42,"42CB","Not Detected",93.06666667,164.9666667
"27",27,42,"42CC","Not Detected",50.41666667,50.71916667
"28",28,53,"53CB","Not Detected",63.86666667,168
"29",29,53,"53CC","Not Detected",21.93333333,21.93861111
"30",30,53,"53CF","Not Detected",110.9666667,168
"31",31,54,"54CD","Not Detected",35,2.370277778
"32",32,54,"54CE","Not Detected",101.4,3.968055556
"33",33,54,"54CF","Not Detected",111.6833333,16.96166667
"34",34,67,"67CF","Detected",33.4,33.16027778
"35",35,67,"67CG","Detected",34.78333333,23.3025
"36",36,67,"67CH","Detected",58.01666667,30.23472222
"37",37,91,"91CA","Detected",78.61666667,10.55361111
"38",38,91,"91CB","Detected",54.98333333,11.23333333
"39",39,91,"91CC","Detected",167.4166667,8.626944444
"40",40,93,"93CB","Detected",164.85,164.85
"41",41,93,"93CE","Detected",164.65,164.65
"42",42,93,"93CF","Detected",164.9666667,164.9666667
"43",43,95,"95CA","Detected",168,13.72277778
"44",44,95,"95CC","Detected",163.1833333,168
"45",45,95,"95CD","Detected",113.9833333,168
